,Station,Time,Forecast(Entry/h),",Forecast(Exit/h)",Forecast(Traffic/h_turnstl)
74,FLUSHING-MAIN,8/10/2017 4:00,1369.357779,856.2076736,16.88200438
75,FLUSHING-MAIN,8/10/2017 8:00,2548.460055,1167.926646,36.07719554
76,FLUSHING-MAIN,8/10/2017 12:00,2921.739365,1667.425818,46.19067403
77,FLUSHING-MAIN,8/10/2017 16:00,2345.23186,2008.673707,40.67456732
78,FLUSHING-MAIN,8/10/2017 20:00,2559.588929,3297.807786,55.71654663
79,FLUSHING-MAIN,8/11/2017 0:00,2016.618723,2019.865549,34.86185139
80,FLUSHING-MAIN,8/11/2017 4:00,1512.303136,931.2265586,18.24663769
81,FLUSHING-MAIN,8/11/2017 8:00,2525.623415,1219.765576,35.92672285
82,FLUSHING-MAIN,8/11/2017 12:00,2844.074805,1681.039791,45.24192888
83,FLUSHING-MAIN,8/11/2017 16:00,2349.12337,2006.039383,40.16121687
84,FLUSHING-MAIN,8/11/2017 20:00,2535.633743,3181.688379,54.01590965
85,JKSN HT-ROOSVLT,8/5/2017 0:00,1315.583823,1838.798716,35.59332814
86,JKSN HT-ROOSVLT,8/5/2017 4:00,416.5314683,967.0926138,13.74242427
87,JKSN HT-ROOSVLT,8/5/2017 8:00,2238.177606,587.6349499,32.95758006
88,JKSN HT-ROOSVLT,8/5/2017 12:00,3346.15963,1026.442913,50.10958864
89,JKSN HT-ROOSVLT,8/5/2017 16:00,2322.178791,1835.763767,48.07822515
90,JKSN HT-ROOSVLT,8/5/2017 20:00,2414.525641,3194.554416,63.78743416
91,JKSN HT-ROOSVLT,8/6/2017 0:00,1161.797927,1793.486644,36.05109029
92,JKSN HT-ROOSVLT,8/6/2017 4:00,331.7046483,1012.126542,15.52490511
93,JKSN HT-ROOSVLT,8/6/2017 8:00,1960.386871,672.0005626,33.41417223
94,JKSN HT-ROOSVLT,8/6/2017 12:00,2907.097664,1065.29038,48.92422078
95,JKSN HT-ROOSVLT,8/6/2017 16:00,2057.780929,1790.671751,47.52441162
96,JKSN HT-ROOSVLT,8/6/2017 20:00,2124.382768,3008.53828,61.91961606
97,JKSN HT-ROOSVLT,8/7/2017 0:00,1246.573227,1756.141436,36.25170753
98,JKSN HT-ROOSVLT,8/7/2017 4:00,508.1642186,1055.817604,16.9308698
99,JKSN HT-ROOSVLT,8/7/2017 8:00,1977.648663,750.9667163,33.7866054
100,JKSN HT-ROOSVLT,8/7/2017 12:00,2839.069033,1103.467627,47.9617278
101,JKSN HT-ROOSVLT,8/7/2017 16:00,2050.256216,1753.618219,46.78262569
102,JKSN HT-ROOSVLT,8/7/2017 20:00,2114.878143,2845.177343,59.95330767
